English,Czech
gets,dostane
asked,zeptal se
under,pod
break,přestávka
door,dveře
set,soubor
close,zavřít
hand,ruka
easy,snadný
question,otázka
doctor,doktor
tried,zkusil
far,daleko
walk,Procházka
needs,potřeby
trouble,problémy
mine,těžit
though,ačkoli
times,časy
different,odlišný
killed,zabit
hospital,NEMOCNICE
anybody,někdo
Sam or SAM,Sam nebo Sam
alright,v pořádku
wedding,svatba
shut,zavřete
able,schopný
die,zemřít
perfect,perfektní
police,POLICIE
stand,vydržet
comes,přichází
hit,udeřil
story,příběh
ya,jo
mm,mm
waiting,čekání
dinner,večeře
against,proti
funny,legrační
husband,manžel
almost,téměř
stupid,hloupý
pay,platit
answer,Odpovědět
four,čtyři
office,kancelář
cool,chladný
eyes,oči
child,dítě
shouldn't,by neměl
half,polovina
side,postranní
yours,tvoje
moment,okamžik
